Valuation,Industry,Country,Year Founded,Funding,ROI
3000,11,44,2005,859,2141
3000,8,43,2015,1000,2000
3000,8,44,2019,125,2875
3000,14,9,2015,1000,2000
3000,1,34,2010,1000,2000
3000,12,29,2011,1000,2000
3000,5,44,2013,660,2340
3000,4,44,2012,714,2286
3000,13,44,2012,225,2775
3000,4,39,2003,408,2592
3000,4,44,2019,500,2500
3000,2,9,2016,1000,2000
3000,4,22,2015,532,2468
3000,8,19,2016,531,2469
3000,6,44,2014,582,2418
3000,11,19,2006,75,2925
3000,7,2,2017,685,2315
3000,8,1,2018,280,2720
3000,6,19,2016,274,2726
3000,11,44,2017,314,2686
3000,9,44,2015,366,2634
3000,10,44,2016,465,2535
3000,4,44,2013,730,2270
3000,0,44,2008,607,2393
3000,8,44,2015,987,2013
3000,11,44,2015,313,2687
3000,10,15,2013,148,2852
3000,7,19,2015,789,2211
3000,4,44,2017,395,2605
3000,11,44,2012,496,2504
3000,6,16,2013,706,2294
3000,11,44,2013,357,2643
3000,11,44,2015,722,2278
3000,5,44,2012,407,2593
3000,14,44,2014,818,2182
3000,11,44,2013,248,2752
3000,5,44,2015,507,2493
3000,5,44,1999,414,2586
3000,2,9,2014,1000,2000
3000,11,19,2018,543,2457
3000,6,19,2015,1000,2000
3000,8,44,2016,407,2593
3000,10,44,2014,314,2686
3000,11,44,2008,200,2800
3000,1,44,2009,417,2583
3000,12,44,2011,999,2001
3000,13,44,2011,880,2120
3000,2,44,2012,777,2223
3000,4,22,2014,583,2417
3000,8,44,2016,398,2602
3000,14,44,2015,666,2334
3000,12,41,2019,468,2532
3000,4,44,2013,558,2442
3000,7,44,2015,461,2539
3000,1,43,2016,682,2318
3000,7,7,2015,483,2517
3000,8,7,2014,299,2701
3000,8,44,2016,326,2674
3000,11,16,2012,812,2188
3000,7,19,2010,591,2409
3000,10,44,2014,379,2621
3000,11,44,2014,334,2666
3000,6,44,2019,399,2601
3000,6,44,2008,698,2302
3000,14,44,2014,483,2517
3000,8,19,2018,600,2400
3000,8,44,2012,551,2449
3000,6,17,2021,1000,2000
3000,9,44,2016,665,2335
3000,8,44,2017,628,2372
3000,6,17,2020,1000,2000
3000,8,44,2006,475,2525
3000,6,6,2018,788,2212
3000,6,6,2011,628,2372
3000,14,19,2016,1000,2000
3000,11,44,2014,722,2278
3000,11,44,2003,360,2640
3000,7,44,2007,500,2500
3000,8,18,2015,328,2672
3000,8,44,2017,487,2513
3000,8,44,2017,1000,2000
3000,11,44,2013,351,2649
3000,10,44,2015,523,2477
3000,8,44,2013,711,2289
3000,10,43,2014,975,2025
3000,11,17,2013,333,2667
3000,8,44,2008,775,2225
3000,14,19,2011,1000,2000
3000,2,17,2013,1000,2000
3000,8,44,2016,474,2526
3000,4,44,2013,525,2475
3000,11,44,2014,535,2465
3000,8,19,2017,393,2607
3000,8,44,2017,187,2813
3000,6,9,2014,612,2388
3000,11,44,2015,329,2671
3000,11,44,2014,330,2670
3000,11,44,2010,170,2830
3000,7,44,2015,240,2760
3000,11,44,2014,419,2581
3000,8,44,2016,496,2504
3000,11,44,2010,427,2573
3000,11,45,2019,311,2689
3000,6,9,2012,1000,2000
3000,8,44,2011,339,2661
3000,15,20,2012,1000,2000
3000,8,17,2014,919,2081
3000,13,6,2011,180,2820
2000,11,44,2017,127,1873
2000,8,9,2015,224,1776
2000,8,44,2018,45,1955
2000,8,43,2012,477,1523
2000,12,44,2010,503,1497
2000,6,9,1995,946,1054
2000,8,44,2000,19,1981
2000,8,9,2014,536,1464
2000,7,9,2014,188,1812
2000,6,9,2015,101,1899
2000,2,9,2015,1000,1000
2000,7,9,2015,390,1610
2000,1,9,2013,717,1283
2000,6,44,2018,29,1971
2000,9,9,2015,186,1814
2000,5,9,2010,137,1863
2000,8,22,2015,417,1583
2000,8,19,2008,634,1366
2000,3,35,1979,556,1444
2000,6,9,2008,216,1784
2000,12,9,2012,71,1929
2000,13,9,2012,594,1406
2000,8,43,1992,696,1304
2000,4,44,2015,640,1360
2000,13,43,2012,754,1246
2000,12,19,2007,221,1779
2000,10,39,2012,340,1660
2000,14,34,2014,975,1025
2000,11,44,2010,200,1800
2000,6,17,2020,766,1234
2000,6,44,2009,431,1569
2000,3,43,2007,233,1767
2000,9,9,2018,472,1528
2000,8,44,2009,861,1139
2000,10,44,2007,568,1432
2000,8,44,2004,320,1680
2000,11,44,2020,181,1819
2000,11,44,2014,381,1619
2000,8,40,2013,150,1850
2000,10,44,2016,150,1850
2000,11,44,2015,289,1711
2000,8,44,2021,100,1900
2000,5,31,2016,225,1775
2000,8,44,2017,119,1881
2000,8,44,2013,719,1281
2000,11,1,2011,257,1743
2000,5,44,2011,381,1619
2000,14,19,2016,435,1565
2000,2,43,2010,828,1172
2000,4,44,2010,142,1858
2000,11,44,2008,261,1739
2000,9,16,2014,466,1534
2000,11,44,2016,245,1755
2000,5,43,2011,310,1690
2000,1,44,2013,192,1808
2000,5,44,2004,211,1789
2000,9,22,2018,203,1797
2000,0,8,2015,370,1630
2000,6,6,2015,320,1680
2000,8,44,2020,217,1783
2000,11,44,2016,253,1747
2000,4,44,2018,218,1782
2000,11,44,2010,225,1775
2000,8,44,2012,253,1747
2000,13,44,2016,435,1565
2000,13,22,2012,190,1810
2000,11,44,2009,152,1848
2000,11,44,2019,129,1871
2000,15,9,2011,755,1245
2000,14,44,2016,299,1701
2000,1,14,2015,177,1823
2000,6,44,2019,225,1775
2000,11,44,2010,331,1669
2000,8,44,2015,340,1660
2000,11,44,2016,204,1796
2000,11,19,2018,376,1624
2000,8,0,2017,544,1456
2000,13,9,2013,90,1910
2000,2,9,2014,125,1875
2000,13,44,2017,419,1581
2000,1,5,2006,120,1880
2000,1,44,2014,380,1620
2000,4,44,2013,401,1599
2000,2,9,2015,744,1256
2000,8,44,2017,282,1718
2000,9,44,2013,682,1318
2000,11,7,2008,386,1614
2000,0,44,2017,151,1849
2000,4,44,2013,390,1610
2000,14,44,2007,421,1579
